timestamp,value
41985,1152.05
41986,6360.94
41987,286.19
41988,550.57
41989,3485.12
41990,9575.99
41991,1571.14
41992,727.68
41993,842.17
41994,9476.88
41995,687.07
41996,4002.39
41997,708.55
41998,1419.81
41999,25764.57
42000,56913.48
42001,227.23
42002,299.45
42003,128.02
42004,1731.42
42005,931.83
42006,829.24
42007,200.24
42008,290.88
42009,188.55
42010,4170.34
42011,882.46
42012,750.88
42013,6892.18
42014,1104.18
42015,3061.51
42016,359.91
42017,279.94
42018,770.38
42019,896.31
42020,2821.87
42021,476.5
42022,6482.59
42023,1054.83
42024,2930.59
42025,377.58
42026,794.51
42027,507.55
42028,948.66
42029,1524.69
42030,360.9
42031,266.84
42032,605.76
42033,2332.94
42034,1420.85
42035,1129.26
42036,1600.5
42037,1682
42038,1254.59
42039,12010.84
42040,562.16
42041,2941.96
42042,470.28
42043,1000.83
42044,212.23
42045,606.1
42046,984.86
42047,1308.91
42048,1305.41
42049,2195.68
42050,6419.41
42051,15842
42052,7667.82
42053,1903.15
42054,86.73
42055,58.53
42056,398.94
42057,178.38
42058,53.87
42059,266.1
42060,113.17
42061,258.46
42062,355.88
42063,327.7
42064,52.63
42065,-7.83
42066,4234.55
42067,262.55
42068,491.28
42069,2147.07
42070,749.07
42071,641.74
42072,1017.41
42073,512.19
42074,1201.98
42075,1802.52
42076,1150.64
42077,822.11
42078,967.94
42079,604.46
42080,3678.61
42081,692.4
42082,977.14
42083,1924.6
42084,883.76
42085,343.87
42086,87.65
42087,1392.44
42088,577.29
42089,876.81
42090,25124.07
42091,469.02
42092,23085.32
42093,455.37
42094,1271.97
42095,713.59
42096,3419.13
42097,7574.91
42098,1522.06
42099,1528.3
42100,378.28
42101,722.76
42102,671.95
42103,997.12
42104,1192.52
42105,739.34
42106,507.45
42107,1225.26
42108,1508.87
42109,8796.86
42110,1201.7
42111,9939.7
42112,980.28
42113,1591.32
42114,3189.36
42115,843.73
42116,1002.22
42117,2068.44
42118,1104.47
42119,974.71
42120,4657.97
42121,292.02
42122,206.14
42123,1662.65
42124,646.61
42125,1383.89
42126,1169.08
42127,87.83
42128,190.41
42129,3307.57
42130,3046.22
42131,1074.46
42132,651.56
42133,1270.67
42134,87.73
42135,-2054.59
42136,1520.38
42137,5369.12
42138,4003.13
42139,13624.85
42140,894.67
42141,515.23
42142,215.73
42143,1574.97
42144,3440.55
42145,3631.8
42146,1254.21
42147,1621.6
42148,1575
42149,248.67
42150,702.65
42151,1030.27
42152,1168.43
42153,1863.04
42154,535.25
42155,12042.08
42156,212.92
42157,319.77
42158,1586.71
42159,708.59
42160,1148.42
42161,2405.6
42162,1106.91
42163,87.82
42164,946.24
42165,1710.25
42166,1144.38
42167,2452.74
42168,2790.79
42169,13347.36
42170,104.76
42171,988.97
42172,1753.68
42173,4583.97
42174,1357.93
42175,4424.44
42176,547.74
42177,253.18
42178,189.27
42179,604.31
42180,526.94
42181,502.05
42182,1440.09
42183,492.49
42184,859.65
42185,879.49
42186,3295.62
42187,1884.21
42188,5876.09
42189,20047.56
42190,333.76
42191,336.15
42192,810.28
42193,985.88
42194,4782.88
42195,505.52
42196,531.91
42197,588.22
42198,304.37
42199,501.05
42200,760.61
42201,1207.26
42202,5123.6
42203,607.35
42204,3227
42205,1280.1
42206,20331.03
42207,1439.63
42208,1221.4
42209,2160.46
42210,416.02
42211,205.26
42212,464.78
42213,320.41
42214,773.87
42215,7112.32
42216,853.85
42217,5504.45
42218,4961.99
42219,311.56
42220,6539.81
42221,1605.82
42222,425.33
42223,1252.41
42224,452.63
